ISTAT,TOPONIMO,COD_N,DEC,SIGLA,DCC,geometry
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,394181474
1272,Torino,"1,1",Residenziale - consolidato,R9,2008/04/01-61,771706061
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,116954355
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,733477589
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,568163788
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,766592119
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,672001499
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,927598966
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,834614261
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,947408390
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,718771459
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,613236800
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,568542632
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,661203821
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,231361926
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,789896250
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,615845596
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,489674132
1272,Torino,"1,1",Residenziale - consolidato,R3,2008/04/01-61,711841783
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,205730916
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,124372790
1272,Torino,"1,1",Residenziale - consolidato,R3,2008/04/01-61,558779206
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,489380616
1272,Torino,"1,1",Residenziale - consolidato,R9,2008/04/01-61,656127148
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,939574957
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,259809288
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,330336198
1272,Torino,"1,1",Residenziale - consolidato,R3,2008/04/01-61,485877123
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,764737316
1272,Torino,"1,1",Residenziale - consolidato,R9,2008/04/01-61,390032823
1272,Torino,"1,1",Residenziale - consolidato,R3,2008/04/01-61,633570961
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,626169648
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,710117527
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,924281570
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,173646760
1272,Torino,"1,1",Residenziale - consolidato,M1,2008/04/01-61,227412356
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,332749338
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,110176405
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,646051422
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,806809120
1272,Torino,"1,1",Residenziale - consolidato,R2,2008/04/01-61,899238837
1272,Torino,"1,1",Residenziale - consolidato,R1,2008/04/01-61,939169367
