Mixin,Field name,Data type,Multiple,Description,Internal field name,defaultValue,isInMixinRef,indexInId,Is Mixin,Has Mixins,fieldAndMixins,isHistorizable,isContributable,documentation,maxScan
o:Ancestor_0,o:ancestors,String,true,,,,,,true,,,,,,
geo:Country_0,geo_Country:Name,String,,,,,true,0,,o:Ancestor_0,,true,,,
geo:Country_0,geo_Country:NAME,String,,,,,,,,,,,,,
geo:Country_0,geo_Country:idIso,String,,,,,,,,,,,,,
geo:Country_0,geo_Country:idStat,String,,,,,,,,,,,,,
geo:Country_0,geo_Country:idNational,String,,To specify differently for each country ! OR is (a rule on) (one of the) other fields ?,,,,,,,,,,,
geo:Country_0,geo_Country:statisticalInstitute,String,,Website OR ressource reference,,,,,,,,,,,
geo:Region_0,geo_Region:Name,String,,,,,true,1,,o:Ancestor_0,,,,,
geo:Region_0,geo_Region:NAME,String,,,,,,,,,,,,,
geo:Region_0,geo_Region:idIso,String,,,,,,,,,,,,,
geo:Region_0,geo_Region:idStat,String,,,,,,,,,,,,,
geo:Region_0,geo_Region:idNational,String,,To specify differently for each country ! OR is (a rule on) (one of the) other fields ?,,,,,,,,,,,
geo:Region_0,geo_Region:nutsLevel,String,,OR nuts ressource reference,,2,,,,,,,,,
geo:Region_0,geo_Region:country,geo:Country_0,,,,,,0,,,,,,,
geo:Province_0,geo_Province:Name,String,,,,,true,1,,o:Ancestor_0,,,,,
geo:Province_0,geo_Province:NAME,String,,,,,,,,,,,,,
geo:Province_0,geo_Province:idIso,String,,,,,,,,,,,,,
geo:Province_0,geo_Province:idStat,String,,,,,,,,,,,,,
geo:Province_0,geo_Province:idNational,String,,To specify differently for each country ! OR is (a rule on) (one of the) other fields ?,,,,,,,,,,,
geo:Province_0,geo_Province:nutsLevel,String,,OR nuts ressource reference,,3,,,,,,,,,
geo:Province_0,geo_Province:region,geo:Region_0,,,,,,0,,,,,,,
geo:City_0,geo_City:Name,String,,,,,true,2,,o:Ancestor_0,,,,,
geo:City_0,geo_City:NAME,String,,,,,,,,,,,,,
geo:City_0,geo_City:idIso,String,,none ??,,,,,,,,,,,
geo:City_0,geo_City:idStat,String,,,,,,,,,,,,,
geo:City_0,geo_City:idNational,String,,To specify differently for each country ! OR is (a rule on) (one of the) other fields ?,,,,,,,,,,,
geo:City_0,geo_City:province,geo:Province_0,,,,,,0,,,,,,,
geo:City_0,geo_City:fiscalCode,String,,,,,,,,,,,,,
geo:City_0,geo_City:postalCode,String,,,,,,1,,,,,,,
