Mixin,Field name,Data type,Multiple,Description,Internal field name,defaultValue,isInMixinRef,indexInId,isInstanciable,isStorage,isDefinition,Inherits,Has Mixins,fieldAndMixins,isHistorizable,isContributable,documentation,maxScan,storageModel,defaultLanguage
,"DONE gdenis samples ids (& relative designator ? Lower case ? All levels ?) for each type of first data line (& first Italian line)
DONE gdenis check data for each field of first data line (& first Italian line)
TODO gdenis inheriting NUTS2/3 and then country-specific types using polymorphism and separate fr/itData.csv, then DONE delete all « level »
TODO ancestors : only on geo:Area ? YES Make it work so. Does it solve the portal's need ?
DONE server : once polymorphism, o:ancestors ref type check
TODO import : once polymorphism, don't import mixins (or make it configurable)
DONE import : extract model import prefix from file name (OPT & display it)
 TODO import : raise error if non-URL (http prefixed) value for Resource-typed field
 TODO import : is separate ancestors from indexInId required now ? YES because NUT3 has not its NUTS2 in its id. Then do it
 TODO import : i18n, for id default language is en (or LATER by model LATER default for a language ex. fr for fr_ca)
 TODO import : don't redefine fields to import when unnecessary
 TODO i18n of o_displayable:name / geo_area:name, then delete all « name », and DONE keep only one of o_displayable:name / geo_area:name / geo_City:name
 TODO i18n of model names (must be gotten separately and cached), then delete all « label »
TODO country ref on NUTS and below, NUTS2 ref on NUTS3 and below : copied fields ? Referencing Mixin ? As embedded ressource ? At least only one of geo_Area:country, geo_City:country etc.
 TODO pretty prefixes
 TODO server : indexInId, ancestors & deduplication key fields redux
 Q :
 o_displayable:name = geo_area:name ? YES = Country:geoName ? YES =others typex:name ? YES NB. Displayable clearer about what it's about i.e. its « business »
 Parent spécifique ou générique ? Spécifique for now car facilite le linking and ancestors are generic anyway
 Gdenis « info » = i18n, see above
TODO Are all idIso fields the same or not ? Yes => generic field
Designator still useful vs idIso (same value) ? NO Id any useful (no value) ? NO IdStat ? YES idNational ? YES means id actually used everyday
 & see below",,,,,,,,"Is Mixin = !isInstanciable.
Defaults to true, set to false when :
you don't want to import a Resource of this precise type,
such as for reusable, not concrete type (mixin)
or for concrete types inheriting from a polymorphic storage type","Defaults to true, set to false when :
You don't want this type to have its own collection / table,
Such as for concrete types inheriting from a polymorphic storage type","(differs from saying that a given inherited field should not be redefined, which is auto)
Defaults to true, set to false when :
No inherited field definition should be redefined",i.e. reuses but overrides definitions,,,,,,,?,
o:Displayable_0,o_displayable:name,String,,TODO i18n,,,,,false,false,,,,,,,,,,
o:Ancestor_0,o:ancestors,o:Ancestor_0,true,"auto computed OR can be provided (as URL, one per line or comma separated), in the same data file or additional ones",,,true,,false,false,,,,,,,,,,
geo:Area_0,geo_area:idIso,String,,LATER polymorphism,,,,,false,true,,,"o:Displayable_0,o:Ancestor_0",,,,,,,
geo:Area_0,geo_area:country,geo:Country_0,,LATER polymorphism or ancestors,,,,,,,,,,,,,,,,
geo:Country_0,geo_country:idIso,String,,"id country = iso, idem pour nuts ; ex. FR, IT, TR...",geo_country:idIso,TK,true,0,,false,,,"geo:Area_0,o:Ancestor_0",,,,,,,
geo:Country_0,geo_country:testMap,map,,,,,,,,,,,,,,,,,,
geo:Country_0,geo_country:testMap.geo_country:testName,String,,,geo_country:name,,,,,,,,,,,,,,,
geo:Country_0,geo_country:testMap.geo_country:testIdIso,String,,,geo_country:idIso,,,,,,,,,,,,,,,
geo:Country_0,geo_country:testListMap,map,true,,,,,,,,,,,,,,,,,
geo:Country_0,geo_country:testListMap.geo_country:testName,String,,,geo_country:name,,,,,,,,,,,,,,,
geo:Country_0,geo_country:testListMap.geo_country:testIdIso,String,,,geo_country:idIso,,,,,,,,,,,,,,,
geo:Country_0,geo_country:name,i18n,,TODO rather o_displayable:name ?,,,,,,,,,,,,,,,,fr
geo:Country_0,geo_country:name.l,String,,,,fr,,,,,,,,,,,,,,
geo:Country_0,geo_country:name.v,String,,,geo_country:name,,,,,,,,,,,,,,,
geo:Country_0,geo_country:name.0,map,,,,,,,,,,,,,,,,,,
geo:Country_0,geo_country:name.0.l,String,,,,it,,,,,,,,,,,,,,
geo:Country_0,geo_country:name.0.v,String,,,geo_country:name,,,,,,,,,,,,,,,
geo:Country_0,geo_country:name.1,map,,,,,,,,,,,,,,,,,,
geo:Country_0,geo_country:name.1.l,String,,,,en,,,,,,,,,,,,,,
geo:Country_0,geo_country:name.1.v,String,,,,testen2,,,,,,,,,,,,,,
geo:Country_0,geo_country:statisticalInstitute,String,,Website OR ressource reference,geo_country:statisticalInstitute,,,,,,,,,,,,,,,
geo:NUTS_0,geo_NUTS:name,String,,NUTS def & NUTS 2 import,geo_NUTS2:name,,,,,,,,,,,,,,,
geo:NUTS_0,geo_NUTS:idIso,String,,,geo_NUTS2:idIso,,,1,,false,,,"geo:Area_0,o:Ancestor_0",,,,,,,
geo:NUTS_0,geo_NUTS:idStat,String,,ex. id insee,geo_NUTS2:idStat,,,,,,,,,,,,,,,
geo:NUTS_0,geo_NUTS:idNational,String,,Actually used in the country ex. tax number in Spain ; To specify differently for each country ! OR is (a rule on) (one of the) other fields ?,geo_NUTS2:idNational,,,,,,,,,,,,,,,
geo:NUTS_0,geo_NUTS:country,geo:Country_0,,NO internal field name but autolinking,,,,0,,,,,,,,,,,,
geo:NUTS_0,geo_NUTS:parent,geo:NUTS_0,,vide pour NUTS2 (déjà country) ; anyway NO internal field name but subresource linking,,,,,,,,,,,,,,,,
geo:City_0,geo_city:nuts3.geo_NUTS:name,String,,NUTS 3 import,geo_NUTS3:name,,,,,,,,,,,,,,,
geo:City_0,geo_city:nuts3.geo_NUTS:idIso,String,,,geo_NUTS3:idIso,,,,,,,,,,,,,,,
geo:City_0,geo_city:nuts3.geo_NUTS:idStat,String,,,geo_NUTS3:idStat,,,,,,,,,,,,,,,
geo:City_0,geo_city:nuts3.geo_NUTS:idNational,String,,To specify differently for each country ! OR is (a rule on) (one of the) other fields ?,geo_NUTS3:idNational,,,,,,,,,,,,,,,
