№,Province,District,Sub-District,Neighbourhood,Zip Code
1,ADANA,ALADAĞ(KARSANTI),AKÖREN,CİVANBEY MAH.,01720
2,ADANA,ALADAĞ(KARSANTI),AKÖREN,TEPEBAĞ MAH.,01720
3,ADANA,ALADAĞ(KARSANTI),AKÖREN,YENİ MAH.,01720
4,ADANA,ALADAĞ(KARSANTI),KARSANTI,AKPINAR MAH.,01720
5,ADANA,ALADAĞ(KARSANTI),KARSANTI,BAŞPINAR MAH.,01720
6,ADANA,ALADAĞ(KARSANTI),KARSANTI,MANSURLU MAH.,01720
7,ADANA,ALADAĞ(KARSANTI),KARSANTI,SİNANPAŞA MAH.,01720
8,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,BOZTAHTA KÖYÜ,01720
9,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,BÜYÜKSOFULU KÖYÜ,01720
10,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,CERİTLER KÖYÜ,01720
11,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DARILIK KÖYÜ,01720
12,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DAYILAR KÖYÜ,01720
13,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DÖLEKLİ KÖYÜ,01720
14,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,EĞNER KÖYÜ,01720
15,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,GERDİBİ KÖYÜ,01720
16,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,GÖKÇE KÖYÜ,01720
17,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,İBRİŞİM KÖYÜ,01720
18,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KABASAKAL KÖYÜ,01720
19,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KARAHAN KÖYÜ,01720
20,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KICAK KÖYÜ,01720
21,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KIŞLAK KÖYÜ,01720
22,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KIZILDAM KÖYÜ,01720
23,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KÖKEZ KÖYÜ,01720
24,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KÖPRÜCEK KÖYÜ,01720
