№,Province,District,Sub-District,Neighbourhood,Zip Code,tkgeo_country:idIso,geocotk:idIso
1,ADANA,ALADAĞ(KARSANTI),AKÖREN,CİVANBEY MAH.,01720,TK,TK
2,ADANA,ALADAĞ(KARSANTI),AKÖREN,TEPEBAĞ MAH.,01720,TK,TK
3,ADANA,ALADAĞ(KARSANTI),AKÖREN,YENİ MAH.,01720,TK,TK
4,ADANA,ALADAĞ(KARSANTI),KARSANTI,AKPINAR MAH.,01720,TK,TK
5,ADANA,ALADAĞ(KARSANTI),KARSANTI,BAŞPINAR MAH.,01720,TK,TK
6,ADANA,ALADAĞ(KARSANTI),KARSANTI,MANSURLU MAH.,01720,TK,TK
7,ADANA,ALADAĞ(KARSANTI),KARSANTI,SİNANPAŞA MAH.,01720,TK,TK
8,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,BOZTAHTA KÖYÜ,01720,TK,TK
9,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,BÜYÜKSOFULU KÖYÜ,01720,TK,TK
10,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,CERİTLER KÖYÜ,01720,TK,TK
11,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DARILIK KÖYÜ,01720,TK,TK
12,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DAYILAR KÖYÜ,01720,TK,TK
13,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DÖLEKLİ KÖYÜ,01720,TK,TK
14,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,EĞNER KÖYÜ,01720,TK,TK
15,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,GERDİBİ KÖYÜ,01720,TK,TK
16,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,GÖKÇE KÖYÜ,01720,TK,TK
17,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,İBRİŞİM KÖYÜ,01720,TK,TK
18,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KABASAKAL KÖYÜ,01720,TK,TK
19,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KARAHAN KÖYÜ,01720,TK,TK
20,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KICAK KÖYÜ,01720,TK,TK
21,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KIŞLAK KÖYÜ,01720,TK,TK
22,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KIZILDAM KÖYÜ,01720,TK,TK
23,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KÖKEZ KÖYÜ,01720,TK,TK
