Mixin,Field name,ORIG Field name,Data type,Precision,Multiple,Description,Internal field name,ORIG Internal field name,defaultValue,defaultLanguage,indexInId,indexInParents,queryNames,isInstanciable,isStorage,isDefinition,Has Mixins,Inherits,fieldAndMixins,isHistorizable,isContributable,documentation,maxScan,storageModel,importDefaultOnly,importAutolinkedOnly,useIdForParent,evalAsJs,dontEncodeIdInUri,jsFunctionToEval,isInRefMixin,useIdForRefMixin,useParentForRefMixin,specificToCountryLanguage,queryLimit,aliasedStorageNames,readonly,queryBeforeCreate,fulltext
// doc & TODOs (next line is defaults),,,,,,,,,avoid if several of the same (sub)type,,,"Note that for ease of use, id fields are auto added as parent fields when they are not yet such (however, to fully control parent field order ex. primary parent is an id field, all parent fields have to have an indexInParents)",,"Is Mixin = !isInstanciable.
Defaults to true, set to false when :
you don't want to import a Resource of this precise type,
such as for reusable, not concrete type (mixin)
or for concrete types inheriting from a polymorphic storage type","Defaults to true, set to false when :
You don't want this type to have its own collection / table,
Such as for concrete types inheriting from a polymorphic storage type","(differs from saying that a given inherited field should not be redefined, which is auto)
Defaults to true, set to false when :
No inherited field definition should be redefined",,i.e. reuses but overrides definitions,,,,,,"?
And path",,,,,,javascript function to apply to parsed value,,,,,"0 if not indexed (default), else ex. 100. Implicit (no need to set it again) on all aliasing fields.",ex. geo:name for both geoco:name and geoci:name fields allows to search in both at once in abstract geoname field. Can also be multiple ex. orgfr:siret is stored in org:id and orgfr:numeroFiscal in org:vatNumber but orges/it:vatNumber is stored in both org:vatNumber and org:id (which should then be readonly to avoid changing it without changing org:vatNumber).,"if true, this field won't be written. Useful with fields that are computed or filled by others with multiple aliasedStorageNames.","if true, will build and execute a lookup query (at least one must have values for all fields that are tagged by its name in queryNames. If found, id fields as well as fields filled with default values will be overriden by existing values.","Enables fulltext search. Resources will only be found once saved since enabling it. If true for string or i18n field, its value will be tokenized and added to the single fulltext index. MUST be set again on aliasing fields."
,,,,,,,,,,en,,,,true,true,true,,,,,,,,,false,false,true,,,"ex. hashCodeId, generateUuid",,true,true,,,,,false,
odisp:Displayable_0,odisp:name,,i18n,,,"fill it in instance models, or replace their :name or store it in it",,,,,,,,false,false,,,,,,,,,,,,,,,,,,,,100,,,,true
oanc:Ancestor_0,oanc:ancestors,,oanc:Ancestor_0,,true,"auto computed OR can be provided (as URL, one per line or comma separated), in the same data file or additional ones",__computed,,,,,,,false,false,,,,,,,,,,,,,,,,true,,,,,,,,
geo:Area_0,geo:idIso,,String,,,"LATER polymorphism ? TODO fill it in instance models, or replace their :name",,,,,,,,false,true,,"odisp:Displayable_0,oanc:Ancestor_0",,,,,,,,,,,,,,,,,,100,,,,
geo:Area_0,geo:country,,geoco:Country_0,,,"LATER polymorphism or ancestors or refMixin ? TODO fill it in instance models, or replace their :name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
geo:Area_0,geo:name,,i18n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,true
geo:Area_0,odisp:name,,i18n,,,disable fulltext since custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,false
geoco:Country_0,geoco:idIso,,String,,,"id country = iso, idem pour nuts ; ex. FR, IT, TR...",,,,,0,,,false,false,,geo:Area_0,,,,,,,,,,,,,,true,,,,,geo:idIso,,,
geoco:Country_0,geoco:name,,i18n,,,"TODO rather o_displayable:name ? Pas de displayName, il l'est lui-même, attendre la possibilité d'avoir deux AliasStorageName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"geo:name,odisp:name",,,true
